"Species","Trap","Year","Distance","Cover"
"Melicytus angustifolius",6,2018,"1m",0
"Melicytus angustifolius",6,2018,"5m",0
"Melicytus angustifolius",6,2018,"10m",0
"Melicytus angustifolius",6,2018,"15m",0
"Microseris lanceolata",6,2018,"1m",0
"Microseris lanceolata",6,2018,"5m",0
"Microseris lanceolata",6,2018,"10m",0
"Microseris lanceolata",6,2018,"15m",0
"Olearia brevipedunculata",6,2018,"1m",0
"Olearia brevipedunculata",6,2018,"5m",0
"Olearia brevipedunculata",6,2018,"10m",0
"Olearia brevipedunculata",6,2018,"15m",0
"Olearia frostii",6,2018,"1m",0
"Olearia frostii",6,2018,"5m",1
"Olearia frostii",6,2018,"10m",1
"Olearia frostii",6,2018,"15m",1
"Oreomyrrhis eriopoda",6,2018,"1m",0
"Oreomyrrhis eriopoda",6,2018,"5m",0
"Oreomyrrhis eriopoda",6,2018,"10m",0
"Oreomyrrhis eriopoda",6,2018,"15m",0
"Orites Lancifolius",6,2018,"1m",0
"Orites Lancifolius",6,2018,"5m",0
"Orites Lancifolius",6,2018,"10m",1
"Orites Lancifolius",6,2018,"15m",1
"Phebalium squamulosum",6,2018,"1m",0
"Phebalium squamulosum",6,2018,"5m",0
"Phebalium squamulosum",6,2018,"10m",0
"Phebalium squamulosum",6,2018,"15m",0
"Pimelea alpina",6,2018,"1m",0
"Pimelea alpina",6,2018,"5m",0
"Pimelea alpina",6,2018,"10m",0
"Pimelea alpina",6,2018,"15m",0
"Pimelea axiflora",6,2018,"1m",0
"Pimelea axiflora",6,2018,"5m",0
"Pimelea axiflora",6,2018,"10m",0
"Pimelea axiflora",6,2018,"15m",0
"Plantago euryphylla",6,2018,"1m",0
"Plantago euryphylla",6,2018,"5m",0
"Plantago euryphylla",6,2018,"10m",0
"Plantago euryphylla",6,2018,"15m",1
"Poa hiemata",6,2018,"1m",1
"Poa hiemata",6,2018,"5m",1
"Poa hiemata",6,2018,"10m",1
"Poa hiemata",6,2018,"15m",1
"Poa hothamensis",6,2018,"1m",0
"Poa hothamensis",6,2018,"5m",0
"Poa hothamensis",6,2018,"10m",0
"Poa hothamensis",6,2018,"15m",1
"Podolepis robusta (grey form)",6,2018,"1m",0
"Podolepis robusta (grey form)",6,2018,"5m",0
"Podolepis robusta (grey form)",6,2018,"10m",0
"Podolepis robusta (grey form)",6,2018,"15m",0
"Prasophyllum alpinum",6,2018,"1m",0
"Prasophyllum alpinum",6,2018,"5m",0
"Prasophyllum alpinum",6,2018,"10m",0
"Prasophyllum alpinum",6,2018,"15m",0
"Ranunculus victoriensis",6,2018,"1m",0
"Ranunculus victoriensis",6,2018,"5m",0
"Ranunculus victoriensis",6,2018,"10m",1
"Ranunculus victoriensis",6,2018,"15m",1
"Rytidosperma nudiflorum",6,2018,"1m",0
"Rytidosperma nudiflorum",6,2018,"5m",0
"Rytidosperma nudiflorum",6,2018,"10m",1
"Rytidosperma nudiflorum",6,2018,"15m",0
"Scleranthus biflorus",6,2018,"1m",0
"Scleranthus biflorus",6,2018,"5m",0
"Scleranthus biflorus",6,2018,"10m",0
"Scleranthus biflorus",6,2018,"15m",0
"Scleranthus singuliflorus",6,2018,"1m",0
"Scleranthus singuliflorus",6,2018,"5m",0
"Scleranthus singuliflorus",6,2018,"10m",0
"Scleranthus singuliflorus",6,2018,"15m",1
"Senecio gunnii",6,2018,"1m",0
"Senecio gunnii",6,2018,"5m",1
"Senecio gunnii",6,2018,"10m",0
"Senecio gunnii",6,2018,"15m",1
"Senecio pinnatifolius",6,2018,"1m",0
"Senecio pinnatifolius",6,2018,"5m",0
"Senecio pinnatifolius",6,2018,"10m",0
"Senecio pinnatifolius",6,2018,"15m",0
"Tasmannia lanceolata",6,2018,"1m",0
"Tasmannia lanceolata",6,2018,"5m",0
"Tasmannia lanceolata",6,2018,"10m",0
"Tasmannia lanceolata",6,2018,"15m",0
"Trachymene humilis",6,2018,"1m",0
"Trachymene humilis",6,2018,"5m",0
"Trachymene humilis",6,2018,"10m",0
"Trachymene humilis",6,2018,"15m",0
"Trifolium",6,2018,"1m",0
"Trifolium",6,2018,"5m",0
"Trifolium",6,2018,"10m",0
"Trifolium",6,2018,"15m",0
"Trisetum spicatum",6,2018,"1m",0
"Trisetum spicatum",6,2018,"5m",0
"Trisetum spicatum",6,2018,"10m",0
"Trisetum spicatum",6,2018,"15m",0
"Viola betonicifolia",6,2018,"1m",0
"Viola betonicifolia",6,2018,"5m",0
"Viola betonicifolia",6,2018,"10m",0
"Viola betonicifolia",6,2018,"15m",0
"Wahlenbergia",6,2018,"1m",0
"Wahlenbergia",6,2018,"5m",0
"Wahlenbergia",6,2018,"10m",0
"Wahlenbergia",6,2018,"15m",0
"Xerochrysum subundulatum",6,2018,"1m",0
"Xerochrysum subundulatum",6,2018,"5m",0
"Xerochrysum subundulatum",6,2018,"10m",0
"Xerochrysum subundulatum",6,2018,"15m",0
"Acaena novae-zelandiae",7,2018,"1m",0
"Acaena novae-zelandiae",7,2018,"5m",0
"Acaena novae-zelandiae",7,2018,"10m",0
"Acaena novae-zelandiae",7,2018,"15m",0
"Acetosella vulgaris",7,2018,"1m",0
"Acetosella vulgaris",7,2018,"5m",1
"Acetosella vulgaris",7,2018,"10m",1
"Acetosella vulgaris",7,2018,"15m",1
"Agrostis capillaris",7,2018,"1m",0
"Agrostis capillaris",7,2018,"5m",0
"Agrostis capillaris",7,2018,"10m",0
"Agrostis capillaris",7,2018,"15m",0
"Agrostis venusta",7,2018,"1m",0
"Agrostis venusta",7,2018,"5m",0
"Agrostis venusta",7,2018,"10m",1
"Agrostis venusta",7,2018,"15m",1
"Argyrotegium fordianum",7,2018,"1m",0
"Argyrotegium fordianum",7,2018,"5m",1
"Argyrotegium fordianum",7,2018,"10m",1
"Argyrotegium fordianum",7,2018,"15m",1
"Asperula gunnii",7,2018,"1m",0
"Asperula gunnii",7,2018,"5m",0
"Asperula gunnii",7,2018,"10m",0
"Asperula gunnii",7,2018,"15m",0
"Asterolasia trymalioides",7,2018,"1m",0
"Asterolasia trymalioides",7,2018,"5m",0
"Asterolasia trymalioides",7,2018,"10m",0
"Asterolasia trymalioides",7,2018,"15m",0
"Bossiaea foliosa",7,2018,"1m",0
"Bossiaea foliosa",7,2018,"5m",0
"Bossiaea foliosa",7,2018,"10m",0
"Bossiaea foliosa",7,2018,"15m",0
"Brachyscome decipiens",7,2018,"1m",1
"Brachyscome decipiens",7,2018,"5m",1
"Brachyscome decipiens",7,2018,"10m",1
"Brachyscome decipiens",7,2018,"15m",1
"Brachyscome spathulata",7,2018,"1m",0
"Brachyscome spathulata",7,2018,"5m",0
"Brachyscome spathulata",7,2018,"10m",0
"Brachyscome spathulata",7,2018,"15m",0
"Bulbine glauca",7,2018,"1m",0
"Bulbine glauca",7,2018,"5m",0
"Bulbine glauca",7,2018,"10m",0
"Bulbine glauca",7,2018,"15m",0
"Carex breviculmis",7,2018,"1m",0
"Carex breviculmis",7,2018,"5m",0
"Carex breviculmis",7,2018,"10m",0
"Carex breviculmis",7,2018,"15m",0
"Carex hebes",7,2018,"1m",1
"Carex hebes",7,2018,"5m",1
"Carex hebes",7,2018,"10m",1
"Carex hebes",7,2018,"15m",1
"Celmisia costiniana",7,2018,"1m",0
"Celmisia costiniana",7,2018,"5m",1
"Celmisia costiniana",7,2018,"10m",1
"Celmisia costiniana",7,2018,"15m",0
"Colobanthus affinis",7,2018,"1m",0
"Colobanthus affinis",7,2018,"5m",0
"Colobanthus affinis",7,2018,"10m",0
"Colobanthus affinis",7,2018,"15m",0
"Craspedia aurantia",7,2018,"1m",1
"Craspedia aurantia",7,2018,"5m",1
"Craspedia aurantia",7,2018,"10m",1
"Craspedia aurantia",7,2018,"15m",1
"Craspedia gracilis",7,2018,"1m",0
"Craspedia gracilis",7,2018,"5m",0
"Craspedia gracilis",7,2018,"10m",0
"Craspedia gracilis",7,2018,"15m",0
"Pappochroma bellidioides",7,2018,"1m",0
"Pappochroma bellidioides",7,2018,"5m",0
"Pappochroma bellidioides",7,2018,"10m",0
"Pappochroma bellidioides",7,2018,"15m",0
"Erigeron nitidus (nitidius)",7,2018,"1m",0
"Erigeron nitidus (nitidius)",7,2018,"5m",0
"Erigeron nitidus (nitidius)",7,2018,"10m",0
"Erigeron nitidus (nitidius)",7,2018,"15m",0
"Eucalyptus pauciflora",7,2018,"1m",0
"Eucalyptus pauciflora",7,2018,"5m",0
"Eucalyptus pauciflora",7,2018,"10m",0
"Eucalyptus pauciflora",7,2018,"15m",0
"Geranium",7,2018,"1m",0
"Geranium",7,2018,"5m",0
"Geranium",7,2018,"10m",0
"Geranium",7,2018,"15m",0
"Gonocarpus montanus",7,2018,"1m",0
"Gonocarpus montanus",7,2018,"5m",0
"Gonocarpus montanus",7,2018,"10m",0
"Gonocarpus montanus",7,2018,"15m",0
"Grevillea australis",7,2018,"1m",0
"Grevillea australis",7,2018,"5m",0
"Grevillea australis",7,2018,"10m",0
"Grevillea australis",7,2018,"15m",1
"Helichrysum rutidolepis",7,2018,"1m",0
"Helichrysum rutidolepis",7,2018,"5m",0
"Helichrysum rutidolepis",7,2018,"10m",0
"Helichrysum rutidolepis",7,2018,"15m",0
"Hovea montana",7,2018,"1m",0
"Hovea montana",7,2018,"5m",0
"Hovea montana",7,2018,"10m",1
"Hovea montana",7,2018,"15m",1
"Hypochaeris radicata",7,2018,"1m",0
"Hypochaeris radicata",7,2018,"5m",0
"Hypochaeris radicata",7,2018,"10m",1
"Hypochaeris radicata",7,2018,"15m",1
"Leptorhynchos squamatus",7,2018,"1m",0
"Leptorhynchos squamatus",7,2018,"5m",0
"Leptorhynchos squamatus",7,2018,"10m",0
"Leptorhynchos squamatus",7,2018,"15m",0
"Leucopogon montanus",7,2018,"1m",0
"Leucopogon montanus",7,2018,"5m",0
"Leucopogon montanus",7,2018,"10m",0
"Leucopogon montanus",7,2018,"15m",0
"Luzula novae-cambriae",7,2018,"1m",1
"Luzula novae-cambriae",7,2018,"5m",1
"Luzula novae-cambriae",7,2018,"10m",1
"Luzula novae-cambriae",7,2018,"15m",1
"Melicytus angustifolius",7,2018,"1m",0
"Melicytus angustifolius",7,2018,"5m",0
"Melicytus angustifolius",7,2018,"10m",0
"Melicytus angustifolius",7,2018,"15m",0
"Microseris lanceolata",7,2018,"1m",0
"Microseris lanceolata",7,2018,"5m",0
"Microseris lanceolata",7,2018,"10m",0
"Microseris lanceolata",7,2018,"15m",1
"Olearia brevipedunculata",7,2018,"1m",0
"Olearia brevipedunculata",7,2018,"5m",0
"Olearia brevipedunculata",7,2018,"10m",0
"Olearia brevipedunculata",7,2018,"15m",0
"Olearia frostii",7,2018,"1m",0
"Olearia frostii",7,2018,"5m",1
"Olearia frostii",7,2018,"10m",1
"Olearia frostii",7,2018,"15m",1
"Oreomyrrhis eriopoda",7,2018,"1m",1
"Oreomyrrhis eriopoda",7,2018,"5m",1
"Oreomyrrhis eriopoda",7,2018,"10m",1
"Oreomyrrhis eriopoda",7,2018,"15m",1
"Orites Lancifolius",7,2018,"1m",0
"Orites Lancifolius",7,2018,"5m",0
"Orites Lancifolius",7,2018,"10m",0
"Orites Lancifolius",7,2018,"15m",0
"Phebalium squamulosum",7,2018,"1m",0
"Phebalium squamulosum",7,2018,"5m",0
"Phebalium squamulosum",7,2018,"10m",1
"Phebalium squamulosum",7,2018,"15m",0
"Pimelea alpina",7,2018,"1m",0
"Pimelea alpina",7,2018,"5m",0
"Pimelea alpina",7,2018,"10m",0
"Pimelea alpina",7,2018,"15m",0
"Pimelea axiflora",7,2018,"1m",0
"Pimelea axiflora",7,2018,"5m",0
"Pimelea axiflora",7,2018,"10m",0
"Pimelea axiflora",7,2018,"15m",1
"Plantago euryphylla",7,2018,"1m",0
"Plantago euryphylla",7,2018,"5m",0
"Plantago euryphylla",7,2018,"10m",0
"Plantago euryphylla",7,2018,"15m",1
"Poa hiemata",7,2018,"1m",1
"Poa hiemata",7,2018,"5m",1
"Poa hiemata",7,2018,"10m",1
"Poa hiemata",7,2018,"15m",1
"Poa hothamensis",7,2018,"1m",0
"Poa hothamensis",7,2018,"5m",0
"Poa hothamensis",7,2018,"10m",1
"Poa hothamensis",7,2018,"15m",0
"Podolepis robusta (grey form)",7,2018,"1m",0
"Podolepis robusta (grey form)",7,2018,"5m",0
"Podolepis robusta (grey form)",7,2018,"10m",0
"Podolepis robusta (grey form)",7,2018,"15m",0
"Prasophyllum alpinum",7,2018,"1m",0
"Prasophyllum alpinum",7,2018,"5m",1
"Prasophyllum alpinum",7,2018,"10m",0
"Prasophyllum alpinum",7,2018,"15m",1
"Ranunculus victoriensis",7,2018,"1m",1
"Ranunculus victoriensis",7,2018,"5m",1
"Ranunculus victoriensis",7,2018,"10m",1
"Ranunculus victoriensis",7,2018,"15m",1
"Rytidosperma nudiflorum",7,2018,"1m",1
"Rytidosperma nudiflorum",7,2018,"5m",1
"Rytidosperma nudiflorum",7,2018,"10m",1
"Rytidosperma nudiflorum",7,2018,"15m",1
"Scleranthus biflorus",7,2018,"1m",1
"Scleranthus biflorus",7,2018,"5m",1
"Scleranthus biflorus",7,2018,"10m",1
"Scleranthus biflorus",7,2018,"15m",1
"Scleranthus singuliflorus",7,2018,"1m",1
"Scleranthus singuliflorus",7,2018,"5m",1
"Scleranthus singuliflorus",7,2018,"10m",1
"Scleranthus singuliflorus",7,2018,"15m",1
"Senecio gunnii",7,2018,"1m",0
"Senecio gunnii",7,2018,"5m",0
"Senecio gunnii",7,2018,"10m",0
"Senecio gunnii",7,2018,"15m",0
"Senecio pinnatifolius",7,2018,"1m",0
"Senecio pinnatifolius",7,2018,"5m",0
"Senecio pinnatifolius",7,2018,"10m",0
"Senecio pinnatifolius",7,2018,"15m",0
"Tasmannia lanceolata",7,2018,"1m",0
"Tasmannia lanceolata",7,2018,"5m",0
"Tasmannia lanceolata",7,2018,"10m",0
"Tasmannia lanceolata",7,2018,"15m",0
"Trachymene humilis",7,2018,"1m",0
"Trachymene humilis",7,2018,"5m",0
"Trachymene humilis",7,2018,"10m",0
"Trachymene humilis",7,2018,"15m",0
"Trifolium",7,2018,"1m",0
"Trifolium",7,2018,"5m",0
"Trifolium",7,2018,"10m",0
"Trifolium",7,2018,"15m",0
"Trisetum spicatum",7,2018,"1m",0
"Trisetum spicatum",7,2018,"5m",0
"Trisetum spicatum",7,2018,"10m",0
"Trisetum spicatum",7,2018,"15m",1
"Viola betonicifolia",7,2018,"1m",0
"Viola betonicifolia",7,2018,"5m",0
"Viola betonicifolia",7,2018,"10m",0
"Viola betonicifolia",7,2018,"15m",0
"Wahlenbergia",7,2018,"1m",0
"Wahlenbergia",7,2018,"5m",0
"Wahlenbergia",7,2018,"10m",0
"Wahlenbergia",7,2018,"15m",0
"Xerochrysum subundulatum",7,2018,"1m",0
"Xerochrysum subundulatum",7,2018,"5m",1
"Xerochrysum subundulatum",7,2018,"10m",1
"Xerochrysum subundulatum",7,2018,"15m",0
"Acaena novae-zelandiae",8,2018,"1m",0
"Acaena novae-zelandiae",8,2018,"5m",0
"Acaena novae-zelandiae",8,2018,"10m",0
"Acaena novae-zelandiae",8,2018,"15m",1
"Acetosella vulgaris",8,2018,"1m",0
"Acetosella vulgaris",8,2018,"5m",0
"Acetosella vulgaris",8,2018,"10m",1
"Acetosella vulgaris",8,2018,"15m",1
"Agrostis capillaris",8,2018,"1m",0
"Agrostis capillaris",8,2018,"5m",0
"Agrostis capillaris",8,2018,"10m",0
"Agrostis capillaris",8,2018,"15m",0
"Agrostis venusta",8,2018,"1m",0
"Agrostis venusta",8,2018,"5m",0
"Agrostis venusta",8,2018,"10m",0
"Agrostis venusta",8,2018,"15m",0
"Argyrotegium fordianum",8,2018,"1m",1
"Argyrotegium fordianum",8,2018,"5m",1
"Argyrotegium fordianum",8,2018,"10m",1
"Argyrotegium fordianum",8,2018,"15m",1
"Asperula gunnii",8,2018,"1m",0
"Asperula gunnii",8,2018,"5m",0
"Asperula gunnii",8,2018,"10m",0
"Asperula gunnii",8,2018,"15m",0
"Asterolasia trymalioides",8,2018,"1m",0
"Asterolasia trymalioides",8,2018,"5m",0
"Asterolasia trymalioides",8,2018,"10m",0
"Asterolasia trymalioides",8,2018,"15m",0
"Bossiaea foliosa",8,2018,"1m",0
"Bossiaea foliosa",8,2018,"5m",0
"Bossiaea foliosa",8,2018,"10m",0
"Bossiaea foliosa",8,2018,"15m",0
"Brachyscome decipiens",8,2018,"1m",1
"Brachyscome decipiens",8,2018,"5m",1
"Brachyscome decipiens",8,2018,"10m",1
"Brachyscome decipiens",8,2018,"15m",1
"Brachyscome spathulata",8,2018,"1m",0
"Brachyscome spathulata",8,2018,"5m",0
"Brachyscome spathulata",8,2018,"10m",0
"Brachyscome spathulata",8,2018,"15m",0
"Bulbine glauca",8,2018,"1m",0
"Bulbine glauca",8,2018,"5m",0
"Bulbine glauca",8,2018,"10m",0
"Bulbine glauca",8,2018,"15m",1
"Carex breviculmis",8,2018,"1m",0
"Carex breviculmis",8,2018,"5m",0
"Carex breviculmis",8,2018,"10m",0
"Carex breviculmis",8,2018,"15m",0
"Carex hebes",8,2018,"1m",1
"Carex hebes",8,2018,"5m",1
"Carex hebes",8,2018,"10m",1
"Carex hebes",8,2018,"15m",1
"Celmisia costiniana",8,2018,"1m",0
"Celmisia costiniana",8,2018,"5m",0
"Celmisia costiniana",8,2018,"10m",1
"Celmisia costiniana",8,2018,"15m",0
"Colobanthus affinis",8,2018,"1m",0
"Colobanthus affinis",8,2018,"5m",0
"Colobanthus affinis",8,2018,"10m",0
"Colobanthus affinis",8,2018,"15m",0
"Craspedia aurantia",8,2018,"1m",0
"Craspedia aurantia",8,2018,"5m",1
"Craspedia aurantia",8,2018,"10m",1
"Craspedia aurantia",8,2018,"15m",1
"Craspedia gracilis",8,2018,"1m",0
"Craspedia gracilis",8,2018,"5m",0
"Craspedia gracilis",8,2018,"10m",0
"Craspedia gracilis",8,2018,"15m",0
"Pappochroma bellidioides",8,2018,"1m",1
"Pappochroma bellidioides",8,2018,"5m",1
"Pappochroma bellidioides",8,2018,"10m",0
"Pappochroma bellidioides",8,2018,"15m",1
"Erigeron nitidus (nitidius)",8,2018,"1m",0
"Erigeron nitidus (nitidius)",8,2018,"5m",0
"Erigeron nitidus (nitidius)",8,2018,"10m",0
"Erigeron nitidus (nitidius)",8,2018,"15m",0
"Eucalyptus pauciflora",8,2018,"1m",0
"Eucalyptus pauciflora",8,2018,"5m",0
"Eucalyptus pauciflora",8,2018,"10m",0
"Eucalyptus pauciflora",8,2018,"15m",1
"Geranium",8,2018,"1m",0
"Geranium",8,2018,"5m",0
"Geranium",8,2018,"10m",0
"Geranium",8,2018,"15m",0
"Gonocarpus montanus",8,2018,"1m",0
"Gonocarpus montanus",8,2018,"5m",0
"Gonocarpus montanus",8,2018,"10m",0
"Gonocarpus montanus",8,2018,"15m",0
"Grevillea australis",8,2018,"1m",0
"Grevillea australis",8,2018,"5m",0
"Grevillea australis",8,2018,"10m",1
"Grevillea australis",8,2018,"15m",0
"Helichrysum rutidolepis",8,2018,"1m",0
"Helichrysum rutidolepis",8,2018,"5m",0
"Helichrysum rutidolepis",8,2018,"10m",0
"Helichrysum rutidolepis",8,2018,"15m",0
"Hovea montana",8,2018,"1m",0
"Hovea montana",8,2018,"5m",0
"Hovea montana",8,2018,"10m",0
"Hovea montana",8,2018,"15m",0
"Hypochaeris radicata",8,2018,"1m",1
"Hypochaeris radicata",8,2018,"5m",0
"Hypochaeris radicata",8,2018,"10m",0
"Hypochaeris radicata",8,2018,"15m",0
"Kunzea muelleri",8,2018,"1m",0
"Kunzea muelleri",8,2018,"5m",1
"Kunzea muelleri",8,2018,"10m",1
"Kunzea muelleri",8,2018,"15m",1
"Leptorhynchos squamatus",8,2018,"1m",1
"Leptorhynchos squamatus",8,2018,"5m",1
"Leptorhynchos squamatus",8,2018,"10m",1
"Leptorhynchos squamatus",8,2018,"15m",1
"Leucopogon montanus",8,2018,"1m",0
"Leucopogon montanus",8,2018,"5m",0
"Leucopogon montanus",8,2018,"10m",0
"Leucopogon montanus",8,2018,"15m",0
"Luzula novae-cambriae",8,2018,"1m",1
"Luzula novae-cambriae",8,2018,"5m",1
"Luzula novae-cambriae",8,2018,"10m",1
"Luzula novae-cambriae",8,2018,"15m",1
"Melicytus angustifolius",8,2018,"1m",0
"Melicytus angustifolius",8,2018,"5m",0
"Melicytus angustifolius",8,2018,"10m",0
"Melicytus angustifolius",8,2018,"15m",0
"Microseris lanceolata",8,2018,"1m",0
"Microseris lanceolata",8,2018,"5m",0
"Microseris lanceolata",8,2018,"10m",0
"Microseris lanceolata",8,2018,"15m",0
"Olearia brevipedunculata",8,2018,"1m",0
"Olearia brevipedunculata",8,2018,"5m",0
"Olearia brevipedunculata",8,2018,"10m",0
"Olearia brevipedunculata",8,2018,"15m",0
"Olearia frostii",8,2018,"1m",0
"Olearia frostii",8,2018,"5m",0
"Olearia frostii",8,2018,"10m",0
"Olearia frostii",8,2018,"15m",1
"Oreomyrrhis eriopoda",8,2018,"1m",0
"Oreomyrrhis eriopoda",8,2018,"5m",0
"Oreomyrrhis eriopoda",8,2018,"10m",1
"Oreomyrrhis eriopoda",8,2018,"15m",1
"Orites Lancifolius",8,2018,"1m",0
"Orites Lancifolius",8,2018,"5m",0
"Orites Lancifolius",8,2018,"10m",0
"Orites Lancifolius",8,2018,"15m",0
"Phebalium squamulosum",8,2018,"1m",0
"Phebalium squamulosum",8,2018,"5m",0
"Phebalium squamulosum",8,2018,"10m",0
"Phebalium squamulosum",8,2018,"15m",0
"Pimelea alpina",8,2018,"1m",0
"Pimelea alpina",8,2018,"5m",0
"Pimelea alpina",8,2018,"10m",0
"Pimelea alpina",8,2018,"15m",0
"Pimelea axiflora",8,2018,"1m",0
"Pimelea axiflora",8,2018,"5m",0
"Pimelea axiflora",8,2018,"10m",0
"Pimelea axiflora",8,2018,"15m",0
"Plantago euryphylla",8,2018,"1m",0
"Plantago euryphylla",8,2018,"5m",0
"Plantago euryphylla",8,2018,"10m",1
"Plantago euryphylla",8,2018,"15m",1
"Poa hiemata",8,2018,"1m",1
"Poa hiemata",8,2018,"5m",1
"Poa hiemata",8,2018,"10m",1
"Poa hiemata",8,2018,"15m",1
"Poa hothamensis",8,2018,"1m",0
"Poa hothamensis",8,2018,"5m",0
"Poa hothamensis",8,2018,"10m",1
"Poa hothamensis",8,2018,"15m",1
"Podolepis robusta (grey form)",8,2018,"1m",0
"Podolepis robusta (grey form)",8,2018,"5m",0
"Podolepis robusta (grey form)",8,2018,"10m",0
"Podolepis robusta (grey form)",8,2018,"15m",0
"Prasophyllum alpinum",8,2018,"1m",0
"Prasophyllum alpinum",8,2018,"5m",0
"Prasophyllum alpinum",8,2018,"10m",0
"Prasophyllum alpinum",8,2018,"15m",0
"Ranunculus victoriensis",8,2018,"1m",0
"Ranunculus victoriensis",8,2018,"5m",1
"Ranunculus victoriensis",8,2018,"10m",1
"Ranunculus victoriensis",8,2018,"15m",1
"Rytidosperma nudiflorum",8,2018,"1m",1
"Rytidosperma nudiflorum",8,2018,"5m",1
"Rytidosperma nudiflorum",8,2018,"10m",1
"Rytidosperma nudiflorum",8,2018,"15m",1
"Scleranthus biflorus",8,2018,"1m",0
"Scleranthus biflorus",8,2018,"5m",1
"Scleranthus biflorus",8,2018,"10m",1
"Scleranthus biflorus",8,2018,"15m",1
"Scleranthus singuliflorus",8,2018,"1m",1
"Scleranthus singuliflorus",8,2018,"5m",1
"Scleranthus singuliflorus",8,2018,"10m",1
"Scleranthus singuliflorus",8,2018,"15m",1
"Senecio gunnii",8,2018,"1m",0
"Senecio gunnii",8,2018,"5m",0
"Senecio gunnii",8,2018,"10m",0
"Senecio gunnii",8,2018,"15m",0
"Senecio pinnatifolius",8,2018,"1m",0
"Senecio pinnatifolius",8,2018,"5m",0
"Senecio pinnatifolius",8,2018,"10m",0
"Senecio pinnatifolius",8,2018,"15m",0
"Tasmannia lanceolata",8,2018,"1m",0
"Tasmannia lanceolata",8,2018,"5m",0
"Tasmannia lanceolata",8,2018,"10m",0
"Tasmannia lanceolata",8,2018,"15m",0
"Trachymene humilis",8,2018,"1m",0
"Trachymene humilis",8,2018,"5m",0
"Trachymene humilis",8,2018,"10m",0
"Trachymene humilis",8,2018,"15m",0
"Trifolium",8,2018,"1m",0
"Trifolium",8,2018,"5m",0
"Trifolium",8,2018,"10m",0
"Trifolium",8,2018,"15m",0
"Trisetum spicatum",8,2018,"1m",0
"Trisetum spicatum",8,2018,"5m",1
"Trisetum spicatum",8,2018,"10m",1
"Trisetum spicatum",8,2018,"15m",1
"Viola betonicifolia",8,2018,"1m",0
"Viola betonicifolia",8,2018,"5m",0
"Viola betonicifolia",8,2018,"10m",0
"Viola betonicifolia",8,2018,"15m",0
"Wahlenbergia",8,2018,"1m",0
"Wahlenbergia",8,2018,"5m",0
"Wahlenbergia",8,2018,"10m",0
"Wahlenbergia",8,2018,"15m",0
"Xerochrysum subundulatum",8,2018,"1m",1
"Xerochrysum subundulatum",8,2018,"5m",1
"Xerochrysum subundulatum",8,2018,"10m",0
"Xerochrysum subundulatum",8,2018,"15m",1
"Acaena novae-zelandiae",1,2021,"1m",0
"Acaena novae-zelandiae",1,2021,"5m",0
"Acaena novae-zelandiae",1,2021,"10m",0
"Acaena novae-zelandiae",1,2021,"15m",0
"Acetosella vulgaris",1,2021,"1m",1
"Acetosella vulgaris",1,2021,"5m",1
"Acetosella vulgaris",1,2021,"10m",0
"Acetosella vulgaris",1,2021,"15m",1
"Acrothamnus montanus",1,2021,"1m",0
"Acrothamnus montanus",1,2021,"5m",0
"Acrothamnus montanus",1,2021,"10m",0
"Acrothamnus montanus",1,2021,"15m",0
"Agrostis venusta",1,2021,"1m",0
"Agrostis venusta",1,2021,"5m",0
"Agrostis venusta",1,2021,"10m",0
"Agrostis venusta",1,2021,"15m",0
"Argyrotegium fordianum",1,2021,"1m",0
"Argyrotegium fordianum",1,2021,"5m",0
"Argyrotegium fordianum",1,2021,"10m",0
"Argyrotegium fordianum",1,2021,"15m",0
"Asperula gunnii",1,2021,"1m",0
"Asperula gunnii",1,2021,"5m",0
"Asperula gunnii",1,2021,"10m",0
"Asperula gunnii",1,2021,"15m",0
"Bossiaea sericea",1,2021,"1m",0
"Bossiaea sericea",1,2021,"5m",0
"Bossiaea sericea",1,2021,"10m",0
"Bossiaea sericea",1,2021,"15m",0
"Brachyscome decipiens",1,2021,"1m",1
"Brachyscome decipiens",1,2021,"5m",1
"Brachyscome decipiens",1,2021,"10m",0
"Brachyscome decipiens",1,2021,"15m",1
"Brachyscome spathulata",1,2021,"1m",0
"Brachyscome spathulata",1,2021,"5m",0
"Brachyscome spathulata",1,2021,"10m",0
"Brachyscome spathulata",1,2021,"15m",0
"Carex breviculmis",1,2021,"1m",0
"Carex breviculmis",1,2021,"5m",0
"Carex breviculmis",1,2021,"10m",0
"Carex breviculmis",1,2021,"15m",0
"Carex hebes",1,2021,"1m",0
"Carex hebes",1,2021,"5m",1
"Carex hebes",1,2021,"10m",0
"Carex hebes",1,2021,"15m",1
"Celmisia costiniana",1,2021,"1m",1
"Celmisia costiniana",1,2021,"5m",1
"Celmisia costiniana",1,2021,"10m",0
"Celmisia costiniana",1,2021,"15m",1
"Colobanthus affinis",1,2021,"1m",0
"Colobanthus affinis",1,2021,"5m",1
"Colobanthus affinis",1,2021,"10m",0
"Colobanthus affinis",1,2021,"15m",1
"Cotula alpina",1,2021,"1m",0
"Cotula alpina",1,2021,"5m",0
"Cotula alpina",1,2021,"10m",0
"Cotula alpina",1,2021,"15m",0
"Craspedia aurantia",1,2021,"1m",0
"Craspedia aurantia",1,2021,"5m",0
"Craspedia aurantia",1,2021,"10m",0
